category,question,answer
1,"How does the concept of moral relativism challenge universal ethical principles?

A: It suggests that moral truths may vary between cultures or individuals
B: It argues that all actions are equally moral
C: It promotes a single, global set of ethical rules
D: It focuses on the intentions behind actions rather than their consequences",A
1,"How might the ethical concept of the greater good conflict with individual rights?

A: It may justify actions that benefit society but harm individuals
B: It always aligns perfectly with individual rights
C: It only applies to environmental issues
D: It focuses solely on short-term benefits",A
1,"What ethical principle is most relevant when considering whether it's right to tell a lie to protect someone's feelings?

A: The conflict between honesty and kindness
B: The importance of always telling the truth regardless of consequences
C: The belief that lying is always acceptable
D: The idea that feelings are unimportant in ethical decisions",A
1,"How might the ethical implications of lying differ depending on the consequences?

A: Lying might be considered more ethical if it prevents greater harm
B: Lying is always unethical regardless of consequences
C: Lying is only ethical if it benefits the person telling the lie
D: The ethics of lying are not related to consequences at all",A
1,"How might the concept of fairness in resource distribution be challenged when considering global inequalities?

A: By recognizing that equal distribution may not always be fair due to differing needs and circumstances
B: By assuming that all resources should be distributed equally regardless of context
C: By ignoring global inequalities altogether
D: By focusing only on resource distribution within individual countries",A
1,"In a scenario where you find a wallet on the street, what ethical principle is most relevant in deciding what to do?

A: The duty to respect others' property and attempt to return it
B: The opportunity to improve one's own financial situation
C: The right to keep what you find as a reward for being observant
D: The obligation to give the wallet to the nearest authority figure",A
1,"In discussions about privacy rights, what ethical consideration is often weighed against security concerns?

A: The individual's right to control their personal information
B: The government's right to collect all data without restrictions
C: The idea that privacy is outdated in the digital age
D: The belief that only people with something to hide value privacy",A
1,"What ethical principle is challenged by the idea of "whistleblowing"?

A: The conflict between loyalty to an organization and moral obligation to society
B: The right to privacy in all circumstances
C: The idea that all information should be public
D: The belief that organizations are always ethical",A
1,"How does the concept of ""moral hazard"" relate to ethical decision-making in business?

A: It suggests that protection from risk can lead to riskier behavior
B: It argues that all business decisions are inherently unethical
C: It claims that moral considerations have no place in business
D: It proposes that businesses should always prioritize profit over ethics",A
1,"What ethical consideration is central to discussions about euthanasia?

A: The balance between personal autonomy and the sanctity of life
B: The economic impact of prolonged end-of-life care
C: The religious views on the afterlife
D: The legal implications of assisted dying",A
